MeanTime,SDtime,LowerBandTime,UpperBandTime,TimeCI,MeanWeight,SDweight,LowerBandWeight,UppoerBandWeight,WeightCI
0.397777778,0.3411663,0.174882462,0.620673094,0.445790632,2.025555556,1.357369801,1.138740619,2.912370492,1.773629874
1.476923077,0.260876236,1.33510914,1.618737014,0.283627874,2.102307692,1.446778916,1.315829715,2.88878567,1.572955955
2.52,0.33436507,2.312758383,2.727241617,0.414483235,1.998,1.187825277,1.261778266,2.734221734,1.472443468
3.617142857,0.202049028,3.467462843,3.766822871,0.299360029,1.937142857,1.072749028,1.142439256,2.731846458,1.589407202
4.415,0.352480223,4.230359568,4.599640432,0.369280865,1.852142857,1.126486564,1.262053109,2.442232605,1.180179496
5.523333333,0.26894857,5.371161355,5.675505312,0.304343957,2.370833333,1.066561666,1.767369262,2.974297405,1.206928144
6.436363636,0.360645885,6.223235538,6.649491735,0.426256197,1.890909091,1.175563308,1.196195571,2.585622611,1.389427041
7.428333333,0.239234892,7.292973451,7.563693216,0.270719765,1.718333333,1.150137014,1.067582057,2.36908461,1.301502553
8.478461538,0.28465904,8.323719121,8.633203955,0.309484834,2.295384615,0.756038087,1.884397629,2.706371601,0.821973972
9.675714286,0.250988522,9.489779387,9.861649185,0.371869798,1.595714286,0.976573212,0.872258726,2.319169845,1.446911119
10.35933333,0.278066453,10.21861229,10.50005437,0.281442082,1.587333333,1.238711696,0.960458723,2.214207943,1.25374922
11.50125,0.305026345,11.28987753,11.71262247,0.422744947,1.31625,1.183046159,0.496440838,2.136059162,1.639618324
12.553125,0.362320645,12.37558788,12.73066212,0.355074232,1.79125,0.899902773,1.350297641,2.232202359,0.881904717
13.38714286,0.357850727,13.12204333,13.65224239,0.530199057,1.665714286,0.866234324,1.023998918,2.307429654,1.283430736
14.51,0.280642121,14.28543953,14.73456047,0.449120931,1.241666667,1.014246847,0.430100166,2.053233168,1.623133002
15.367,0.242809939,15.21650484,15.51749516,0.300990319,2.092,1.072616738,1.427185258,2.756814742,1.329629484
16.512,0.319483959,16.23195996,16.79204004,0.560080074,1.668,1.077831156,0.723239337,2.612760663,1.889521326
17.38777778,0.287696793,17.19981587,17.57573968,0.375923809,1.8,0.971120487,1.165534615,2.434465385,1.268930769
18.48666667,0.304280572,18.2431915,18.73014183,0.486950332,1.068333333,0.672648992,0.530102043,1.606564624,1.07646258
19.622,0.308334234,19.35173313,19.89226687,0.540533745,1.738,0.835535756,1.005620619,2.470379381,1.464758763
20.86,NA,NA,NA,NA,1.57,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21.2,0.270739727,20.89362916,21.50637084,0.612741686,2.373333333,0.954428276,1.293296066,3.4533706,2.160074534
23.16,NA,NA,NA,0,1.34,NA,NA,NA,NA
